objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"3 Ring Circus","371947","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111957296","6.39835","7.14552","2.76","1608","6749","thing","3 Ring Circus","1","4","75","75","45","2023","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders: Architects","346703","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957683","6.76798","7.0316","1.3862","816","20680","thing","7 Wonders: Architects","2","7","25","25","25","2021","2,3,4,5,6,7","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Alchemists","161970","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957430","7.39334","7.63625","3.923","179","33844","thing","Alchemists","2","4","120","120","120","2014","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Anachrony","185343","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957250","7.72772","8.03554","3.995","62","27688","thing","Anachrony","1","4","120","120","30","2017","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Anomia","67877","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111959636","6.29751","6.69231","1.0465","1908","12109","thing","Anomia","3","6","30","30","30","2010","3,4,5,6","5","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Aquatica","283393","0","0","0","0","0","0","1","0","0","0","0","3","","","","","","113513545","6.93873","7.35082","2.316","581","12845","thing","Aquatica","1","4","60","60","30","2019","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Arboretum","140934","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957182","7.05689","7.24003","2.1133","442","43668","thing","Arboretum","2","4","30","30","30","2015","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Arboretum","140934","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111959595","7.05689","7.24003","2.1133","442","43668","thing","Arboretum","2","4","30","30","30","2015","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Archipelago","105551","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","110466429","6.83486","7.25853","3.7425","721","11152","thing","Archipelago","2","5","240","240","30","2012","2,3,4,5","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Ark Nova","342942","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957271","8.35422","8.53808","3.7986","2","91784","thing","Ark Nova","1","4","150","150","90","2021","1,2,3","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Barcelona","383607","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957259","6.95533","7.71169","3.364","560","8152","thing","Barcelona","1","4","90","90","60","2023","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Beer & Bread","369880","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957644","6.8204","7.29333","2.3565","739","14874","thing","Beer & Bread","2","2","45","45","30","2022","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Beyond the Sun","317985","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957163","7.5569","7.85952","3.1536","114","20353","thing","Beyond the Sun","2","4","120","120","60","2020","2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Bohnanza","11","9","0","0","1","0","0","0","0","0","0","0","3","","a favourite quickie","","","","686655","6.96418","7.08322","1.6657","545","84512","thing","Bohnanza","3","7","45","45","45","1997","3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Books of Time","372631","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957349","6.09847","7.057","2.6232","2685","3709","thing","Books of Time","1","4","60","60","45","2023","1,2,3","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Books of Time","372631","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","111957384","6.09847","7.057","2.6232","2685","3709","thing","Books of Time","1","4","60","60","45","2023","1,2,3","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Burgle Bros.","172081","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957321","7.0684","7.39789","2.3167","428","19844","thing","Burgle Bros.","1","4","90","90","45","2015","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Caper","232824","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957584","6.03053","6.98458","2.2059","3054","3076","thing","Caper","2","4","45","45","30","2018","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Caper: Europe","328565","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957580","6.98827","7.60068","2.1127","522","11673","thing","Caper: Europe","2","2","35","35","25","2022","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Carcassonne","822","7","0","0","1","0","0","0","0","0","0","0","3","","a good fun quick-ish game - i think the farmers are a little to powerful but i believe that hunters and gatherers has addressed this though i havent played it yet","","","","686662","7.29907","7.41665","1.8837","240","227036","thing","Carcassonne","2","5","45","45","30","2000","2,3,4,5","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Carcassonne: Hunters and Gatherers","4390","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","686663","6.84739","7.13099","1.9223","697","19607","thing","Carcassonne: Hunters and Gatherers","2","5","40","40","35","2002","2,3,4,5","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Carnegie","310873","0","0","0","0","0","0","0","0","0","0","1","4","","","","","","111957274","7.51761","7.94768","3.8222","129","17116","thing","Carnegie","1","4","120","120","90","2022","1,2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Carolus Magnus","481","9.5","0","0","1","0","0","0","0","0","0","0","3","","3 player is definately the way to play this, i really like the way the number choosing works - similar to el caballero but it also affects the number choosing for the next round making the game completly circular and forcing some of the most agonizing decisions ive ever had to make!
2 and 4 player games are good but nowhere near as tense as the 3 player game","","","","686664","6.30756","6.83333","2.5802","1875","4361","thing","Carolus Magnus","2","4","60","60","60","2000","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Castle Panic","43443","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","111957480","6.46314","6.65545","1.6565","1430","31330","thing","Castle Panic","1","6","60","60","30","2009","1,2,3,4,5,6","4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Cerebria: The Inside World","218479","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","108458154","6.64118","7.68325","4.3249","1030","5831","thing","Cerebria: The Inside World","1","4","120","120","60","2018","1,2,3,4","2,4","16+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Clank! In! Space!: A Deck-Building Adventure","233371","0","0","0","0","0","0","0","0","0","0","1","2","","","","","","111957239","7.42282","7.75413","2.5814","165","23662","thing","Clank! In! Space!: A Deck-Building Adventure","2","4","90","90","45","2017","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Clans of Caledonia","216132","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","112070556","7.6754","7.94156","3.4662","78","25185","thing","Clans of Caledonia","1","4","120","120","30","2017","1,2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cosmic Frog","295905","0","0","0","0","0","0","0","0","0","0","1","2","","","","","","111957235","6.27712","7.19648","2.9718","1974","4056","thing","Cosmic Frog","2","6","90","90","45","2020","3,4,5,6","4,5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
